"--101eced83d19b81f","Захід"
"c18460a36221b840","Чорт. У в'язниці тхне чинами... ''Принаймні, у мене є чур на верхню койку...'' Зайнято. Бляха! Боже, чувак! Я тебе не помітив. Тепер бачиш. Гадаю, я на нижній полиці. Чорт забирай, вірно. Я Джуліан. Люк. За що ти тут? Не твоя справа. О-хо, значить, ось так. Ну та пофіг. Мені начхати. Вони взяли мене за крадіжку машин. Тьху. Я вкрав купу до того, як мене зловили. Знаєш, я був дуже гладким. Чому мені завжди дістаються балакучі співкамерники...? Ого! Це страшний шрам від кулі, чувак. Де тебе підстрелили? Перестрілка. У клубі моєї банди. З ким ти тусуєшся? Оверкіл МС. О, так, я чув про них. Байкерська банда, так? Ага. Зачекай... Якщо ти тут, то тебе забрали у Вашингтоні. І що? О, бляха, я чув про ту перестрілку! Вас підстрелила банда ''Деньги''! Ну ось, бляха, і все... Це так круто! Я чув, що вони напали на вас з чотирма хлопцями! У них була велика вогнева міць... Ціле протистояння заради того, щоб вкрасти байк! Довбана класика! Це був не просто байк. Банда ''День зарплати'' така крута. Чотири довбаних хлопця! Я чув, вони вами підлогу вимили! Нічого вони не мили! Вони нас випередили. Ми б їх розтрощили в чесному бою. Але я чув, що ви зіткнулися лоб в лоб у поїзді... До біса поїзди! Ті клоуни - нижча ліга! І ось що я тобі скажу: їхній час добігає кінця. А мені здається, що все гаразд. Здається. Але я отримав повідомлення ззовні. Я чув, що вони зіпсували роботу, яку ми мали виконувати біля кордону. Ти знаєш про Каламутну воду? Ні, чувак. Звісно не знаєш. Вони на наступному рівні. Банда ''Розплати'' загрузла в них по самі вуха, зв'язавшись з ними. ''Клоуни'' можуть перемогти ''Оверкіл''. Може, навіть переможуть ''Мурки'', але це не зробить їх королями пагорба. Чому? Завжди є більший пагорб. Чим вище вони піднімуться, тим більше ворогів наживуть. Якщо вони розсваряться з ''Каламутною водою'', то кого вони розлютять... Ти навіть не уявляєш. Клоуни відкушують більше, ніж можуть прожувати, і це вкусить їх за дупу. Ось побачиш. Як скажеш, брате."
"c1c8ba1e798964ea","Здійснити 50 пограбувань"
"c3298188412debaf","Тролей на Південну парковку"
"c3520b083a0a308a","Додати гравця на соціальному хабі"
"c45a6d48e0f06bdc","Рукавички ''Тигрові кігті'', маска ''Злочинний розум (Лють)'' та костюм ''Гангстерський рай"
"c5955c5248594d37","Костюм DEAD GAME доступний вже зараз!"
"c5cdfcc4a038da03","ЛОБІ-ЗАПРОШЕННЯ"
"c6469d69e39fbf65","Епічні друзі"
"c6912c27baf7fcf5","Замітка"
"c73f28e6112b3e01","Північна автостоянка"
"c824d3bee817cea8","Утримувати (за замовчуванням)"
"ca3f2ed4ad37ab61","Приєднуйтесь до туманності Starbreeze Nebula!"
"cb83513f45125148","Нещодавні"
"cc62b6dd77bceb4d","Ви не можете приєднатися до цього лобі, тому що ви не є другом платформи або соціальним хабом, обраним організатором."
"cdc73d673484f4fe","Особисте: Двічі вбити 10 ворогів з мушкета Фредді Флінтлок$NL;Спільнота: Внесіть 6 000 000 мішків свинячих баксів у скарбничку"
"cf95254535e6675b","Купуйте комплект зброї McShay Weapon Pack 3 вже сьогодні!"
"chico_desc","Національність: Кубинець$NL;$NL;Вік: невідомий$NL;$NL;Таких, як Тоні, більше не роблять. Швидкий балакун, який знає, чого хоче і як цього досягти. Він - справжній професіонал, коли лайно потрапляє на вентилятор, справжній хейстер. Він не відступає ні перед ким і роздає все так сильно, як тільки може витримати. У цього хлопця є яйця."
"civilian_heister_daily_info_ok","ГАРАЗД."
"cn_crime_spree","Злочинний розгул"
"cn_crime_spree_brief","''Злочинний розгул'' - це нескінченна серія випадково вибраних пограбувань, які виконуються по черзі. З кожним завершеним пограбуванням ваш ранг і нагорода зростатимуть! Кожен 20-й або 26-й ранг вам потрібно буде вибрати модифікатор, а кожен 50-й ранг збільшує здоров'я та шкоду ворога, що ускладнює виконання наступних пограбувань.$NL;$NL;Злодійки повинні бути принаймні 60-го рівня або Infamy 1 і мати можливість заплатити континентальну монету, щоб піти на злочинне пограбування.$NL;$NL;##Якщо ви запрошуєте свою команду, переконайтеся, що вони також розпочали власне злочинне пограбування, перш ніж приєднатися до вас, аби також здобути звання та винагороди.$NL;$NL;$NL;$NL;$NL;$NL;$NL;$NL;$NL;$NL;##"
"cn_crime_spree_continue","Продовження розгулу злочинності"
"cn_crime_spree_help_continue","Продовжуйте свою розвагу"
"cn_crime_spree_help_start","Почніть свою подорож"
"cn_crime_spree_level","Crime Spree: $level;$BTN_SPREE_TICKET;"
"cn_crime_spree_level_no_num","Злочинний розгул: "
"cn_crime_spree_modifiers","Модифікатори:"
"cn_crime_spree_my_level","My Crime Spree: $level;$BTN_SPREE_TICKET;"
"cn_crime_spree_my_level_no_num","Мій Розгул Злочинності: "
"cn_crime_spree_no_modifiers","Модифікатори не активні."
"cn_crime_spree_start","Розпочати злочинну діяльність"
"cn_crime_spree_start_level","Рівень $рівень;"
"cn_crime_spree_starting","Початковий рівень:"
"cn_menu_accept_contract","Прийняти"
"cn_menu_background_header","Передісторія:"
"cn_menu_community","СПІЛЬНОТА"
"cn_menu_competitive_job","Турнір"
"cn_menu_contact_header","Контакт:"
"cn_menu_contract_events_header","ПОДІЇ:"
"cn_menu_contract_header","Контракт:"
"cn_menu_contract_in_progress","Контракт в процесі виконання"
"cn_menu_contract_jobpay_header","Плата за роботу:"
"cn_menu_contract_length","$stages; днів"
"cn_menu_contract_length_header","Тривалість контракту:"
"cn_menu_contract_mutators_active","АКТИВНИЙ"
"cn_menu_contract_mutators_header","МУТАТОРИ:"
"cn_menu_contract_mutators_inactive","ВИМКНЕНО"
"cn_menu_contract_paygrade_header","Зарплату:"
"cn_menu_contract_payout_header","ДЕНЬ ЗАРПЛАТИ:"
"cn_menu_contract_short_plural","$days; Днів / $money;"
"cn_menu_contract_short_singular","$days; День / $money;"
"cn_menu_decline_contract","Відхилити"
"cn_menu_dlc","DLC"
"cn_menu_dlc_NX64","ОРЕНДАР"
"cn_menu_downtown_sub","Присутність поліції: ДУЖЕ ВИСОКА"
"cn_menu_downtown_title","У центрі міста."
"cn_menu_executive_contract_offer","Crime.net: Пропозиція виконавчого договору"
"cn_menu_foggy_bottom_sub","Присутність поліції: СЕРЕДНІЙ"
"cn_menu_foggy_bottom_title","Туманне дно"
"cn_menu_georgetown_sub","Присутність поліції: НИЗЬКА"
"cn_menu_georgetown_title","Джорджтаун"
"cn_menu_join_contract_offer","Crime.net: Розшукується член екіпажу"
"cn_menu_mapcoords","Рівень масштабування: $zoom;x$NL;Координати: x$x; y$y;"
"cn_menu_num_contracts","Наразі доступні контракти: $contracts;$NL;Партнери онлайн: $friends;"
"cn_menu_num_players_offline","Crime.net"
